bibcode,year,title,subject,predicate,object,claim_type,evidence_text
1998PhRvD..58e5008M,1998,Axion emission by magnetic-field induced conversion of longitudinal plasmons,axions,candidate_for,dark matter,candidate,axions may still constitute the cosmic dark matter.
1998PhRvD..58j3519B,1998,Indirect detection of dark matter in km-size neutrino telescopes,neutralino,candidate_for,dark matter,candidate,indirect detection of neutralino dark matter captured in the Sun and in the Earth and annihilating into high energy neutrinos.
1998PhRvD..58l3503B,1998,Which fraction of the measured cosmic-ray antiprotons might be due to neutralino annihilation in the galactic halo?,neutralino,candidate_for,dark matter,candidate,possible contribution of an exotic signal due to neutralino annihilation in the galactic halo.
1998cosm.work..119K,1998,"Double Beta Decay - Physics Beyond the Standard Model Now, and in Future (GENIUS)",neutralino,candidate_for,dark matter,candidate,cover almost the full MSSM parameter space for prediction of neutralinos as cold dark matter
1998hep.ex....2007K,1998,"Double Beta Decay and Dark Matter Search - Window to New Physics now, and in future (GENIUS)",neutralino,candidate_for,dark matter,candidate,prediction of neutralinos as cold dark matter
1998hep.ph....7232I,1998,Axionic Boson Stars in Magnetized Conducting Media and Monochromatic Radiations,axionic boson stars,candidate_for,dark matter,candidate,Axions have been argued to form coherent axionic boson stars as well as incoherent axion gas. These are ones of most plausible candidates of dark matters.
1998hep.ph....7232I,1998,Axionic Boson Stars in Magnetized Conducting Media and Monochromatic Radiations,incoherent axion gas,candidate_for,dark matter,candidate,Axions have been argued to form coherent axionic boson stars as well as incoherent axion gas. These are ones of most plausible candidates of dark matters.
1998hepc.conf..394K,1998,WIMP and Axion Dark Matter,dark matter,is,non-baryonic,identity,there are very good reasons to believe that most of this dark matter must be nonbaryonic.
1998hepc.conf..394K,1998,WIMP and Axion Dark Matter,axions,candidate_for,dark matter,candidate,The two leading candidates for this dark matter are axions and weakly-interacting massive particles (WIMPs).
1998hepc.conf..394K,1998,WIMP and Axion Dark Matter,weakly interacting massive particles (wimps),candidate_for,dark matter,candidate,The two leading candidates for this dark matter are axions and weakly-interacting massive particles (WIMPs).
1998hepc.conf..394K,1998,WIMP and Axion Dark Matter,neutralino,candidate_for,dark matter,candidate,such as the neutralino in supersymmetric extensions of the standard model.
1998pesu.book..352K,1998,A Higgsino-LSP World,higgsino lsp,candidate_for,dark matter,candidate,If the LSP were (mainly) a higgsino the signatures of several superpartners (but not all) at colliders would involve isolated photons. The resulting LSP is a good cold dark matter candidate
1998tx19.confE.272H,1998,Search for WIMPs at neutrino telescopes,wimp,candidate_for,dark matter,candidate,"The WIMPs (weakly interacting massive particles, eg neutralinos) might explain part of the dark matter problem in the Universe."
1998tx19.confE.272H,1998,Search for WIMPs at neutrino telescopes,neutralino,candidate_for,dark matter,candidate,"The WIMPs (weakly interacting massive particles, eg neutralinos) might explain part of the dark matter problem in the Universe."
1998tx19.confE.281G,1998,Evaluation of two-component dark matter detectors,wimp,candidate_for,dark matter,candidate,Direct detection of WIMP dark matter cadidates requires an extremely high level of background rejection.
1999AIPC..478..339A,1999,Cosmological consequences of supergravity models,lightest neutralino,candidate_for,dark matter,candidate,"a dark matter candidate, the lightest neutralino."
1999AIPC..484...91K,1999,WIMPZILLAS!,weakly interacting massive particles (wimps),constitutes,dark matter,constitution,"present mass density of the universe is dominated by a weakly interacting massive particle (WIMP), a fossil relic of the early universe."
1999AIPC..484...91K,1999,WIMPZILLAS!,wimpzillas,candidate_for,dark matter,candidate,"Here, I will review scenarios for production of nonthermal dark matter. Since the masses of the nonthermal WIMPS are in the range 10<SUP>12</SUP> to 10<SUP>16</SUP> GeV, much larger than the mass of thermal wimpy WIMPS, they may be referred to as WIMPZILLAS."
1999AJ....117..658F,1999,B2045+265: A New Four-Image Gravitational Lens from CLASS,compact group of galaxies associated with the primary lensing galaxy,candidate_for,dark matter,candidate,perhaps from a compact group of galaxies associated with the primary lensing galaxy
1999APh....10..361C,1999,Performances and prospects of the ``ROSEBUD'' dark matter search experiment,wimp,candidate_for,dark matter,candidate,search for WIMP Dark Matter
1999ARNPS..49...77K,1999,The Cosmic Microwave Background and Particle Physics,massive neutrinos,candidate_for,dark matter,candidate,massive neutrinos
1999ARNPS..49...77K,1999,The Cosmic Microwave Background and Particle Physics,weakly interacting massive particles (wimps),candidate_for,dark matter,candidate,weakly interacting massive particles
1999ARNPS..49...77K,1999,The Cosmic Microwave Background and Particle Physics,axions,candidate_for,dark matter,candidate,axions
1999ARNPS..49...77K,1999,The Cosmic Microwave Background and Particle Physics,vacuum energy,candidate_for,dark matter,candidate,vacuum energy
1999ASPC..170..229M,1999,The fate of Low Surface Brightness galaxies in clusters and the origin of the diffuse intra-cluster light,dark matter,is,cold,identity,standard cold dark matter N-body simulation
1999ApJ...517..549R,1999,"Cosmic Microwave Background Anisotropy Constraints on Open and Flat-Λ Cold Dark Matter Cosmogonies from UCSB South Pole, ARGO, MAX, White Dish, and SuZIE Data",dark matter,is,cold dark matter,identity,cold dark matter cosmogonies
1999ApJ...524..510G,1999,Cluster Mass Function in Mixed Models,dark matter,composed_of,cold dark matter and hot dark matter,composition,mixed dark matter (MDM) models
1999ApJ...524..510G,1999,Cluster Mass Function in Mixed Models,massive neutrinos,candidate_for,dark matter,candidate,both with two massive neutrinos (models MDM1 and MDM2)
1999ApJ...525..554F,1999,The Santa Barbara Cluster Comparison Project: A Comparison of Cosmological Hydrodynamics Solutions,dark matter,is,cold dark matter,identity,in a cold dark matter universe
1999ApJ...526..215B,1999,Cosmic Antiprotons as a Probe for Supersymmetric Dark Matter?,neutralino,candidate_for,dark matter,candidate,The flux of cosmic-ray antiprotons from neutralino annihilations in the Galactic halo is computed for a large sample of models in the minimal supersymmetric extension of the standard model (MSSM).
1999CoTPh..32..617C,1999,SU(3)<SUB>L</SUB> × U(1)<SUB>X</SUB> Model and N-Particle as Dark Matter Particle,n-particle,candidate_for,dark matter,candidate,the new neutral lepton (N-particle) can play the role of dark matter particle.
1999IAUS..183..273Y,1999,Linear Evolution of Small Scale Cosmological Density Perturbations,dark matter,is,cold dark matter,identity,in the universe with the cold dark matter.
1999ICRC....4..164G,1999,Superluminal Particles in Cosmic-Ray Physics,superbradyons,candidate_for,dark matter,candidate,be natural dark matter candidates
1999MNRAS.303...45L,1999,Parameter extraction by Planck for a cold dark matter model with broken scale invariance and cosmological constant,dark matter,is,cold,identity,cold dark matter (CDM) models
1999MNRAS.305..547C,1999,The APM cluster-galaxy cross-correlation function: constraints on Omega and galaxy bias,cold dark matter,candidate_for,dark matter,candidate,COBE-normalized cold dark matter (CDM) models
1999MNRAS.305..547C,1999,The APM cluster-galaxy cross-correlation function: constraints on Omega and galaxy bias,mixed dark matter,candidate_for,dark matter,candidate,the mixed dark matter (MDM) model
1999MNRAS.307..162S,1999,Tidal tails in cold dark matter cosmologies,dark matter,is,cold,identity,cold dark matter (CDM) cosmologies
1999MNRAS.308..551W,1999,Collisional baryonic dark matter haloes,dark matter,is,baryonic,identity,the dark matter is both baryonic and collisional
1999MNRAS.308..551W,1999,Collisional baryonic dark matter haloes,dark matter,is,collisional,identity,the dark matter is both baryonic and collisional
1999MNRAS.309L..33H,1999,On the parallax of WD 0346++246: a halo white dwarf candidate,halo white dwarfs,candidate_for,dark matter,candidate,plausible halo white dwarf candidates
1999MNRAS.309L..33H,1999,On the parallax of WD 0346++246: a halo white dwarf candidate,stellar remnants,candidate_for,dark matter,candidate,any baryonic dark matter component to the Galactic halo residing in stellar remnants
1999MNRAS.310.1147M,1999,Cold collapse and the core catastrophe,cold dark matter,candidate_for,dark matter,candidate,a universe dominated by cold dark matter
1999MNRAS.310.1147M,1999,Cold collapse and the core catastrophe,warm dark matter,candidate_for,dark matter,candidate,a cut-off in the power spectrum that may occur in a universe dominated by warm dark matter
1999NIMPA.426..425B,1999,Background and technical studies for GENIUS as a dark matter experiment,wimp,candidate_for,dark matter,candidate,direct search of WIMPs in our Galaxy.
1999NuPhA.661..629B,1999,Cosmological QCD phase transition and dark matter,quark nuggets,candidate_for,dark matter,candidate,there are a large number of stable Quark Nuggets which could be a viable candidate for cosmological dark matter.
1999NuPhS..70...43C,1999,Direct search for relic particles.,axions,candidate_for,dark matter,candidate,"While axion experiments, now producing useful limits, seek a unique signature"
1999NuPhS..70...43C,1999,Direct search for relic particles.,wimp,candidate_for,dark matter,candidate,experiments to find WIMPs seek nuclear recoils
1999NuPhS..70..106B,1999,Dark matter search with the HDMS-experiment and the GENIUS project.,wimp,candidate_for,dark matter,candidate,WIMP cross section limits
1999NuPhS..72...69T,1999,Cosmology solved? Maybe,cold dark matter,is,slowly moving elementary particles left over from the earliest moments,identity,that slowly moving elementary particles left over from the earliest moments provide the cosmic infrastructure
1999NuPhS..72...87S,1999,On the origin of dark matter axions,axions,candidate_for,dark matter,candidate,"to be the dark matter, these axions must have a mass m_a~100μeV with specified large uncertainties."
1999NuPhS..77..357K,1999,Double beta decay with Ge-detectors — and the future of double beta and dark matter search (GENIUS),neutralino,candidate_for,dark matter,candidate,prediction of neutralinos as cold dark matter
1999PhLA..260..262Z,1999,The fluctuation spectrum cut-off in a neutralino dark matter scenario.,neutralino,candidate_for,dark matter,candidate,neutralino cold dark matter
1999PhLB..450..448B,1999,On a further search for a yearly modulation of the rate in particle Dark Matter direct search,wimp,candidate_for,dark matter,candidate,investigated in terms of WIMP annual modulation signature.
1999PhLB..464..213L,1999,Neutralino relic density with a cosmological constant confronts electroweak precision measurements,lightest supersymmetric particle (lsp),candidate_for,dark matter,candidate,relic density of the lightest of the supersymmetric particles (LSP)
1999PhLB..464..303B,1999,WIMP velocity impact on direct dark matter searches,wimp,candidate_for,dark matter,candidate,direct detection searches for WIMPs in the Galactic halo.
1999PhRvD..60c3005H,1999,U(2) and maximal mixing of ν<SUB>μ</SUB>,ν_s,candidate_for,dark matter,candidate,"where ν_s is a light, right-handed state. The introduction of an additional flavor symmetry acting on the right-handed neutrinos makes the model phenomenologically viable, explaining the solar neutrino deficit as well as the atmospheric neutrino anomaly, while giving a potential hot dark matter candidate and retaining the theory's predictivity in the quark sector."
1999PhRvD..60i5006J,1999,Nonthermal axino as cool dark matter in the supersymmetric standard model without R parity,axino,candidate_for,dark matter,candidate,the axino predicted as the supersymmetric partner of the axion is a good candidate for the recently proposed sterile neutrino cool dark matter.
1999PhRvL..83.2510E,1999,Observable Isocurvature Fluctuations from the Affleck-Dine Condensate,neutralino,constitutes,dark matter,constitution,dark matter neutralinos
1999astro.ph..2305B,1999,Gamma-ray Bursts Produced by Mirror Stars,mirror matter,candidate_for,dark matter,candidate,"The concept of mirror matter is able to explain several key problems of modern astrophysics: neutrino anomalies, the missing mass, MACHO microlensing events and GRBs."
1999astro.ph.12558H,1999,Galactic halos of self-interacting dark matter,self-interacting dark matter,candidate_for,dark matter,candidate,Dark matter self-interactions have been proposed as a possible means of resolving this inconsistency.
1999dmap.conf..367F,1999,Dark halos and galaxy evolution,dark matter,is,cold dark matter,identity,the cold dark matter (CDM) cosmologies.
1999dmap.conf..641E,1999,Dark matter from unstable B-balls,b-balls,candidate_for,dark matter,candidate,B-balls could be the source of most baryons and cold dark matter in the universe
1999dmap.conf..641E,1999,Dark matter from unstable B-balls,lsp,candidate_for,dark matter,candidate,"B-balls are unstable but decay to baryons and LSPs typically well below the electroweak phase transition. It is argued that B-balls could be the source of most baryons and cold dark matter in the universe, with their number densities related by $n_{LSP}\simeq 3n_{B}$."
1999hep.th....6126B,1999,Remarks on M Theoretic Cosmology,dark matter,is,boundary modulus,identity,The dark matter is a boundary modulus
1999hep.th....6126B,1999,Remarks on M Theoretic Cosmology,qcd axion,candidate_for,dark matter,candidate,perhaps the QCD axion
1999idm..conf..206H,1999,The Signature of Dark Matter in Quasar Light Curves,dark matter,is,small compact bodies,identity,dark matter in the form of small compact bodies (most plausibly planetary mass primordial black holes)
1999idm..conf..206H,1999,The Signature of Dark Matter in Quasar Light Curves,dark matter,composed_of,planetary mass compact bodies,composition,a large fraction of the critical density is in the form of planetary mass compact bodies
1999idm..conf..206H,1999,The Signature of Dark Matter in Quasar Light Curves,primordial black holes,candidate_for,dark matter,candidate,it is argued that current work on the QCD phase transition suggests they are primordial black holes
1999idm..conf..206H,1999,The Signature of Dark Matter in Quasar Light Curves,compact gas clouds,candidate_for,dark matter,candidate,it is just possible that they are compact gas clouds
1999idm..conf..494D,1999,Cosmic-Ray Antiprotons from Neutralino Annihilation in the Halo,neutralino,candidate_for,dark matter,candidate,a possible contribution of an exotic signal due to neutralino annihilation in the galactic halo
1999idm..conf..494D,1999,Cosmic-Ray Antiprotons from Neutralino Annihilation in the Halo,neutralino,candidate_for,dark matter,candidate,"supersymmetric neutralino configurations, singled out by the DAMA/NaI data on a possible annual modulation effect in WIMP direct search, may provide detectable cosmic-ray antiproton signals"
1999mstu.conf..189F,1999,How to Test the Existence of the Early Parton Cascade Using Photon HBT Correlations?,weakly interacting massive particles (wimps),candidate_for,dark matter,candidate,"a hypothetic dark matter candidate, the Weakly Interacting Massive Particle (WIMP)"
1999psc..conf..165K,1999,New Physics Potential of Double Beta Decay and Dark Matter Search,wimp,candidate_for,dark matter,candidate,WIMP dark matter
2000A&AT...19..305D,2000,Dark matter in the universe,non-compensated remnants of the vacuum energy,candidate_for,dark matter,candidate,"Possible physical candidates for dark matter particles are discussed. Particular attention is paid to non-compensated remnants of the vacuum energy, to the question of the stability of super-heavy relics, cosmological mass bounds for very heavy neutral leptons, and some other more exotic possibilities."
2000A&AT...19..305D,2000,Dark matter in the universe,super-heavy relics,candidate_for,dark matter,candidate,"Possible physical candidates for dark matter particles are discussed. Particular attention is paid to non-compensated remnants of the vacuum energy, to the question of the stability of super-heavy relics, cosmological mass bounds for very heavy neutral leptons, and some other more exotic possibilities."
2000A&AT...19..305D,2000,Dark matter in the universe,very heavy neutral leptons,candidate_for,dark matter,candidate,"Possible physical candidates for dark matter particles are discussed. Particular attention is paid to non-compensated remnants of the vacuum energy, to the question of the stability of super-heavy relics, cosmological mass bounds for very heavy neutral leptons, and some other more exotic possibilities."
2000A&AT...19..345G,2000,Axion astronomy: Searching for dark matter particles,axions,candidate_for,dark matter,candidate,searching for galactic axions
2000AIPC..533..159A,2000,The ANTARES project,neutralino,candidate_for,dark matter,candidate,non barionic dark matter in the form of neutralinos
2000AIPC..540..203C,2000,Neutrinos in supernovae and extra dimensions,ν<sub>μ</sub>-ν<sub>τ</sub> doublet,constitutes,dark matter,constitution,a near maximally-mixed ν<SUB>μ</SUB>-ν<SUB>τ</SUB> doublet (which also explains the atmospheric anomaly and provides hot dark matter)
2000ASPC..209..148C,2000,Small Group Dynamics and Extended Gas,cold h2 gas,candidate_for,dark matter,candidate,cold H<SUB>2</SUB> gas as dark matter
2000ASPC..209..434D,2000,"Ab Initio Formation of Galaxies, Groups and Large-Scale Structure",dark matter,is,cold dark matter,identity,"Two Cold Dark Matter Universes provide a reasonable fit to the observed properties of galaxies, groups and clusters."
2000Ap&SS.271..103B,2000,Modeling the Star Formation in Galaxies Using the Chemo-Dynamical SPH Code,dark matter,is,cold,identity,embedded in a cold dark matter halo
2000ApJ...531..701G,2000,A Universal Coupling Relation between Luminous and Dark Matter Surface Densities in Disk Rotating Galaxies,dark matter,composed_of,coupled halo,composition,"the dark matter profiles of any universal rotation curve can be decomposed into two components: (1) a main component, called ``coupled halo,''"
2000ApJ...531..701G,2000,A Universal Coupling Relation between Luminous and Dark Matter Surface Densities in Disk Rotating Galaxies,dark matter,composed_of,gaslike component,composition,"and (2) a component having a gaslike distribution, negligible in bright galaxies, but of increasing significance toward faint galaxies."
2000ApJ...531..701G,2000,A Universal Coupling Relation between Luminous and Dark Matter Surface Densities in Disk Rotating Galaxies,dark baryon,candidate_for,dark matter,candidate,"could be dark baryons, possibly cold gas in the disk."
2000ApJ...531..701G,2000,A Universal Coupling Relation between Luminous and Dark Matter Surface Densities in Disk Rotating Galaxies,cold gas,candidate_for,dark matter,candidate,"could be dark baryons, possibly cold gas in the disk."
2000ApJ...533....1A,2000,The Cosmic Background Radiation in a Cold Big Bang,population iii remnants,constitutes,dark matter,constitution,Assuming that Population III objects supply dark matter remnants and produce the universal helium abundance of ~24%
2000ApJ...537...21S,2000,Nonlinear Velocity-Density Coupling: Analysis by Second-Order Perturbation Theory,dark matter,is,cold,identity,cold dark matter (CDM) model
2000ApJ...538..559M,2000,Gas Stripping of Dwarf Galaxies in Clusters of Galaxies,cold dark matter,candidate_for,dark matter,candidate,confined by a surrounding cold dark matter halo
2000ApJ...542....9G,2000,Cluster Correlation in Mixed Models,two light massive neutrinos,candidate_for,dark matter,candidate,mixed models with two light massive neutrinos
2000ApJ...542..622C,2000,Substructure and Halo Density Profiles in a Warm Dark Matter Cosmology,warm dark matter,candidate_for,dark matter,candidate,a warm dark matter (WDM) scenario
2000ApJ...542..622C,2000,Substructure and Halo Density Profiles in a Warm Dark Matter Cosmology,cold dark matter,candidate_for,dark matter,candidate,the cold dark matter (CDM) model
2000ApJ...544...43M,2000,Reionization Constraints on the Contribution of Primordial Compact Objects to Dark Matter,compact objects,candidate_for,dark matter,candidate,"One class of candidates for the dark matter is compact objects formed in the early universe, with typical masses M~0.1-1 M<SUB>solar</SUB>, to correspond to the mass scale of objects found with microlensing observing projects."
2000ApJ...544...43M,2000,Reionization Constraints on the Contribution of Primordial Compact Objects to Dark Matter,black holes formed at the epoch of the qcd phase transition,candidate_for,dark matter,candidate,"Specific candidates of this type include black holes formed at the epoch of the QCD phase transition, quark stars, and boson stars."
2000ApJ...544...43M,2000,Reionization Constraints on the Contribution of Primordial Compact Objects to Dark Matter,quark stars,candidate_for,dark matter,candidate,"Specific candidates of this type include black holes formed at the epoch of the QCD phase transition, quark stars, and boson stars."
2000ApJ...544...43M,2000,Reionization Constraints on the Contribution of Primordial Compact Objects to Dark Matter,boson stars,candidate_for,dark matter,candidate,"Specific candidates of this type include black holes formed at the epoch of the QCD phase transition, quark stars, and boson stars."
2000ApJ...544...49S,2000,The 2-10 keV X-Ray Background Dipole and Its Cosmological Implications,cold dark matter,candidate_for,dark matter,candidate,in good agreement with the expectations of cold dark matter models.
2000MNRAS.315..457F,2000,Disc galaxy evolution models in a hierarchical formation scenario: structure and dynamics,dark matter,is,cold dark matter,identity,a flat cold dark matter model with cosmological constant
2000NCimB.115..445P,2000,On the lifetime of a cold dark matter particle and the cosmological diffuse photon background.,majorana heavy neutrino,candidate_for,dark matter,candidate,a Majorana heavy neutrino with a mass O(100 TeV) is a good candidate particle for cold dark matter.
2000NuPhS..85..201A,2000,Search for charginos and neutralinos at LEP,lightest supersymmetric particle (lsp),candidate_for,dark matter,candidate,"stable Lightest Supersymmetric Particle, which could turn out to constitute an important part of the dark matter."
2000NuPhS..87...21R,2000,Non-Baryonic Dark Matter,neutralino,candidate_for,dark matter,candidate,"including neutralinos, axions, axinos, gravitinos, Wimpzillas."
2000NuPhS..87...21R,2000,Non-Baryonic Dark Matter,axions,candidate_for,dark matter,candidate,"including neutralinos, axions, axinos, gravitinos, Wimpzillas."
2000NuPhS..87...21R,2000,Non-Baryonic Dark Matter,axinos,candidate_for,dark matter,candidate,"including neutralinos, axions, axinos, gravitinos, Wimpzillas."
2000NuPhS..87...21R,2000,Non-Baryonic Dark Matter,gravitino,candidate_for,dark matter,candidate,"including neutralinos, axions, axinos, gravitinos, Wimpzillas."
2000NuPhS..87...21R,2000,Non-Baryonic Dark Matter,wimpzillas,candidate_for,dark matter,candidate,"including neutralinos, axions, axinos, gravitinos, Wimpzillas."
2000OLEB...30..292M,2000,A Heterogeneous Self-Replicating RNA/Peptide Cycle,hydrogen cyanide polymers,candidate_for,dark matter,candidate,"Hydrogen cyanide polymers--heterogeneous solids varying in color from yellow to orange to brown to black--could be major components of the dark matter observed on many bodies in the outer solar system, including asteroids, comets, moons, rings and planets."
2000PAN....63..254B,2000,Implications of Collider Experiments for Detecting Cold Dark Matter,neutralino,candidate_for,dark matter,candidate,"cold-dark-matter particles assumed to be neutralinos, the lightest supersymmetric particles, which are stable."
2000PAN....63.1268A,2000,New Results of the WIMP Search with the First IGEX Ge Detectors,weakly interacting massive particles (wimps),candidate_for,dark matter,candidate,New restrictions on masses of weakly interacting massive particles and the cross section of their elastic scattering on nuclei have been obtained from the data corresponding to 810 d of live time.
2000PhDT.........8A,2000,An environmental impact study: Using globular clusters to place limits on dark matter in the galactic halo,massive black holes,candidate_for,dark matter,candidate,we explore the idea that massive black holes (MBH's) in the mass range 10<SUP>3</SUP>M<SUB>solar</SUB><=M<SUB>bh</SUB><=10<SUP> 7</SUP>M<SUB>solar</SUB> could make up the dark matter in the Galactic halo.
2000PhLB..483..184B,2000,Phenomenology of a string-inspired supersymmetric model with inverted scalar mass hierarchy,neutralino,candidate_for,dark matter,candidate,the neutralino dark matter relic density in this model
2000PhLB..489..163C,2000,New production mechanism of neutral Higgs bosons with right scalar tau neutrino as the LSP,lightest tau sneutrino (ν~_τ1),candidate_for,dark matter,candidate,ν~<SUB>τ<SUB>1</SUB></SUB> can be a good candidate for cold dark matter.
2000PhR...333..183F,2000,Death of baryonic dark matter,dark matter,is,not faint stars,identity,"the dark matter is not made of faint stars, brown dwarfs, white dwarfs, or neutron stars."
2000PhR...333..183F,2000,Death of baryonic dark matter,dark matter,is,not brown dwarfs,identity,"the dark matter is not made of faint stars, brown dwarfs, white dwarfs, or neutron stars."
2000PhR...333..183F,2000,Death of baryonic dark matter,dark matter,is,not white dwarfs,identity,"the dark matter is not made of faint stars, brown dwarfs, white dwarfs, or neutron stars."
2000PhR...333..183F,2000,Death of baryonic dark matter,dark matter,is,not neutron stars,identity,"the dark matter is not made of faint stars, brown dwarfs, white dwarfs, or neutron stars."
2000PhR...333..183F,2000,Death of baryonic dark matter,dark matter,is,non-baryonic,identity,a nonbaryonic component in the Halo seems to be required.
2000PhRvD..61l3511W,2000,Scalar-tensor inflationary cosmology,gravitational scalar,constitutes,dark matter,constitution,"Furthermore, the gravitational scalar is just the cold dark matter for which physicists seek."
2000PhRvD..62e6006B,2000,Further investigation of a relic neutralino as a possible origin of an annual-modulation effect in weakly interacting massive particle direct search,relic neutralino,candidate_for,dark matter,candidate,a possible interpretation in terms of relic neutralinos.
2000PhRvD..62g5010E,2000,Supersymmetric dark matter in the light of CERN LEP and the Fermilab Tevatron collider,dark matter,is,lightest neutralino,identity,"supersymmetric dark matter, assumed to be the lightest neutralino χ"
2000STMP..163...69K,2000,Perspectives of double beta and dark matter search as windows to new physics,neutralino,candidate_for,dark matter,candidate,cover almost the full MSSM parameter space for prediction of neutralinos as cold dark matter
2000STMP..163...69K,2000,Perspectives of double beta and dark matter search as windows to new physics,wimp,candidate_for,dark matter,candidate,most-stringent limits for cold dark matter (WIMPs) to date by using raw data.
2000astro.ph.10616M,2000,Self-Interacting Dark Matter with Flavor Mixing,dark matter,is,flavor-mixed particles,identity,postulating flavor mixing of DM particles.
2000gr.qc.....9098G,2000,Production and detection of relic dilatons in string cosmology,ultra-light dilatons,candidate_for,dark matter,candidate,a non-relativistic background of ultra-light dilatons... could represent today a significant fraction of cold dark matter
2000hep.ph....3034P,2000,What are sterile neutrinos good for?,sterile neutrinos,candidate_for,dark matter,candidate,sterile neutrino dark matter
2000hep.ph....5234C,2000,SUSY Dark Matter,neutralino,candidate_for,dark matter,candidate,extend the allowed range of the neutralino mass consistent with constraints up to about 500 GeV. These results have important implications for the search for supersymmetric dark matter.
2000ppeu.conf....1B,2000,Results from DAMA Experiments,wimp,candidate_for,dark matter,candidate,the WIMP annual modulation signature is investigated
2000ppeu.conf..222Z,2000,Dark Matter and Cosmic Strings in Particle Models,neutralino,candidate_for,dark matter,candidate,nonthermal production of the neutralino cold dark matter from the decay of cosmic strings
2000yera.confE..32H,2000,The Timing of millisecond Pulsars at The Nançay radio telescope (France) for The Cosmology,discrete clouds in the ionised ism,candidate_for,dark matter,candidate,the ESE's are rare events that attest the existence of discrete clouds in the ionised ISM. We are going to investigate the kind of the cloud's electron density distribution (clouds or plasma lenses) and the ISM background of the electron density irregularities distribution. This can due to explain the nature of the cold dark matter.
2000yera.confE..32H,2000,The Timing of millisecond Pulsars at The Nançay radio telescope (France) for The Cosmology,plasma lenses,candidate_for,dark matter,candidate,We are going to investigate the kind of the cloud's electron density distribution (clouds or plasma lenses) and the ISM background of the electron density irregularities distribution. This can due to explain the nature of the cold dark matter.
2000yera.confE..32H,2000,The Timing of millisecond Pulsars at The Nançay radio telescope (France) for The Cosmology,ism electron density irregularities,candidate_for,dark matter,candidate,We are going to investigate the kind of the cloud's electron density distribution (clouds or plasma lenses) and the ISM background of the electron density irregularities distribution. This can due to explain the nature of the cold dark matter.
2011JCAP...04..005D,2011,Running-mass inflation model and primordial black holes,primordial black holes,candidate_for,dark matter,candidate,Primordial Black Holes (PBHs) that are sufficiently long-lived to serve as candidates for Dark Matter.
2017arXiv171105721H,2017,"GUT monopoles, the Witten effect and QCD axion phenomenology",qcd axion,candidate_for,dark matter,candidate,QCD axion dark matter abundance
2008AIPC..966..170Q,2008,Large Extra Dimension and Dark Matter Detection,wimp,candidate_for,dark matter,candidate,typical WIMP dark matter
2012AIPC.1441..525P,2012,Dark matter seeding in neutron stars,wimp,candidate_for,dark matter,candidate,self-annihilation of gravitationally accreted WIMPs
2021MNRAS.503.3677R,2021,Stability and pulsation of the first dark stars,dark matter,is,weakly interacting massive particles (wimps),identity,dark matter (DM) in the form of weakly interacting massive particles (WIMPs)
2017AASP....7...23S,2017,Cosmic-Ray Extremely Distributed Observatory: a global cosmic ray detection framework,superheavy dark matter,candidate_for,dark matter,candidate,Super Heavy Dark Matter decay or annihilation
2008arXiv0805.0421M,2008,Structure Formation independent of Cold Dark Matter,particles with mass 10 times heavier than the proton mass,candidate_for,dark matter,candidate,"If cold dark matter, with particle mass 10 times heavier than the proton mass, is present then"
2016PhRvD..94l5022H,2016,Dark matter and observable lepton flavor violation,lightest right-handed neutrino,candidate_for,dark matter,candidate,"the DM candidate, identified as the lightest of the RH neutrinos."
2026arXiv260324759K,2026,Primordial black hole formation from transient $f(T)$ cosmology,primordial black holes,candidate_for,dark matter,candidate,"PBHs with asteroid-scale masses can account for a significant fraction, or even the entirety, of dark matter"
2021JHEP...12..220L,2021,Extracting bigravity from string theory,massive spin-2 field,candidate_for,dark matter,candidate,"a massive spin-2 field, which has been argued to be a viable dark matter candidate."
2021PhRvD.104b3515X,2021,Simulations of axion minihalos,axion,candidate_for,dark matter,candidate,"The axion, motivated as a solution to the strong C P problem, is also a viable dark matter candidate."
2021PhRvD.104b3515X,2021,Simulations of axion minihalos,dark matter,composed_of,axion-like particle,composition,models where the dark matter is comprised of other axion-like particles and even clusters of primordial black holes.
2021PhRvD.104b3515X,2021,Simulations of axion minihalos,dark matter,composed_of,clusters of primordial black holes,composition,models where the dark matter is comprised of other axion-like particles and even clusters of primordial black holes.
2009ITNS...56.2309B,2009,Cryogenics for the LUX Detector,wimp,candidate_for,dark matter,candidate,LUX is a new WIMP dark matter search experiment
2008ApJ...687..959B,2008,Revealing the Properties of Dark Matter in the Merging Cluster MACS J0025.4-1222,cold dark matter,candidate_for,dark matter,candidate,distinguishing between cold dark matter (CDM) and other scenarios
2008ApJ...687..959B,2008,Revealing the Properties of Dark Matter in the Merging Cluster MACS J0025.4-1222,self-interacting dark matter,candidate_for,dark matter,candidate,self-interacting dark matter
2008ApJ...687..959B,2008,Revealing the Properties of Dark Matter in the Merging Cluster MACS J0025.4-1222,dark matter,is,collisionless,identity,reaffirming the results from the Bullet Cluster on the collisionless nature of dark matter.
2018arXiv180804806T,2018,Goldstone Boson Emission From Nucleon Cooper Pairing in Neutron Stars and Constraints on the Higgs Portal Models,majorana fermion,candidate_for,dark matter,candidate,the dark matter candidate (a Majorana fermion)
